Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,Advanced Standing
Physics UG,Physics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Asian/Pacific Islander,Male,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Chinese Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2011-12,White/Other,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,Advanced Standing
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Male,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Greek UG,Classics,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Earth & Planetary Sci UG,Earth & Planetary Science,L&S Math & Phys Sciences Div,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Architecture UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Male,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Female,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Art UG,Art Practice,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Middle Eastern Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
History of Built Environ UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,Advanced Standing
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,Advanced Standing
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Underrepresented Minority,Male,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Demography UG,Demography,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,White/Other,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2011-12,White/Other,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
South & SE Asian Studies UG,South & SE Asian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Chicano Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,Asian/Pacific Islander,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Computer Science UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2011-12,White/Other,Male,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
French UG,French,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Underrepresented Minority,Female,New Freshmen
LGBT Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
African American Studies UG,African American Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Korean UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,Advanced Standing
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2011-12,Underrepresented Minority,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2011-12,Asian/Pacific Islander,Female,New Freshmen
Chicano Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,White/Other,Male,New Freshmen
Public Policy UG,Public Policy,Goldman School Public Policy,Goldman School Public Policy,2011-12,White/Other,Male,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,International,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,Advanced Standing
Ethnic Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Male,Advanced Standing
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,Advanced Standing
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,Advanced Standing
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,Advanced Standing
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,Advanced Standing
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Male,Advanced Standing
Russian Lang Lit Cultr UG,Slavic Languages & Literatures,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,Advanced Standing
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,White/Other,Female,Advanced Standing
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2011-12,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2011-12,Asian/Pacific Islander,Male,New Freshmen
Env Dsgn & Urb Devl Coun UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,White/Other,Female,New Freshmen
History of Built Environ UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2011-12,Asian/Pacific Islander,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2011-12,White/Other,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2011-12,Underrepresented Minority,Female,Advanced Standing
